Cat no.,Description,Colour,Price (Rs.)
C5532 .01,Socket 13A International Multi socket Shuttered - 2 Module,Frost White,430
C5531 .01,Socket 13A 3-Pin Flat-only Socket Shuttered - 2 Module,Frost White,406
C5732 .01,Socket 25A and 6A 3-Pin Shuttered - 2 Module,Frost White,490
C5752 .01,Socket 25A and 6A 3-Pin Shuttered - 3 Module,Frost White,577
C5733 .01,Socket 25A 3-Pin-only Shuttered - 2 Module,Frost White,462
C5213 .02,Socket 6A 3-Pin-only Shuttered - 2 Module,Quartz Gray,379
C5332 .02,Socket 16A and 6A 3-Pin Shuttered - 2 Module,Quartz Gray,524
C5552 .02,Socket 16A and 6A 3-Pin Shuttered - 3 Module,Quartz Gray,602
C5331 .02,Socket 16A 3-Pin-only Shuttered - 2 Module,Quartz Gray,491
C5212 .02,Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Quartz Gray,427
C5010 .02,Socket 6A 2 Pin [Round & Flat] - 1 Module,Quartz Gray,286
C5532 .02,Socket 13A International Multi socket Shuttered - 2 Module,Quartz Gray,524
C5531 .02,Socket 13A 3-Pin Flat-only Socket Shuttered - 2 Module,Quartz Gray,498
C5732 .02,Socket 25A and 6A 3-Pin Shuttered - 2 Module,Quartz Gray,598
C5752 .02,Socket 25A and 6A 3-Pin Shuttered - 3 Module,Quartz Gray,706
C5733 .02,Socket 25A 3-Pin-only Shuttered - 2 Module,Quartz Gray,566
C5213 .17,Socket 6A 3-Pin-only Shuttered - 2 Module,Charcoal Black,422
C5332 .17,Socket 16A and 6A 3-Pin Shuttered - 2 Module,Charcoal Black,580
C5552 .17,Socket 16A and 6A 3-Pin Shuttered - 3 Module,Charcoal Black,667
C5331 .17,Socket 16A 3-Pin-only Shuttered - 2 Module,Charcoal Black,541
C5212 .17,Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Charcoal Black,467
C5010 .17,Socket 6A 2 Pin [Round & Flat] - 1 Module,Charcoal Black,318
C5532 .17,Socket 13A International Multi socket Shuttered - 2 Module,Charcoal Black,580
C5531 .17,Socket 13A 3-Pin Flat-only Socket Shuttered - 2 Module,Charcoal Black,549
C5732 .17,Socket 25A and 6A 3-Pin Shuttered - 2 Module,Charcoal Black,661
C5752 .17,Socket 25A and 6A 3-Pin Shuttered - 3 Module,Charcoal Black,779
C5733 .17,Socket 25A 3-Pin-only Shuttered - 2 Module,Charcoal Black,624
C5332 .20,Socket 16A and 6A 3-Pin Shuttered - 2 Module,Scarlet Red,580
C5212 .20,Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Scarlet Red,467
C5532 .20,Socket 13A International Multi socket Shuttered - 2 Module,Scarlet Red,580
C5732 .20,Socket 25A and 6A 3-Pin Shuttered - 2 Module,Scarlet Red,659
C5900 .01,Fan Regulator for 80W fan - Step Type with Bar Knob - 2 Module,Frost White,1076
C5901 .01,Fan Regulator for 80W fan - Step Type with Round Knob - 2 Module,Frost White,1032
C5910 .01,Fan Regulator for 120W fan - Step Type with Bar Knob - 2 Module,Frost White,1183
C5911 .01,Fan Regulator for 120W fan - Step Type with Round Knob - 2 Module,Frost White,1141
C5912 .01,Fan Regulator for 120W fan - 8-Step Type with Bar Knob - 2 Module,Frost White,1208
C5913 .01,Fan Regulator for 120W fan - 8-Step Type with Round Knob - 2 Module,Frost White,1164
C5902 .01,Dimmer 500 Watts - 2 Module,Frost White,865
C5903 .01,Dimmer 1000 Watts - 2 Module,Frost White,1211
C5904 .01,Fan Regulator Single Module for 80W Fan - Step Type - 1 Module,Frost White,708
C5905 .01,Dimmer 500 Watts - 1 Module,Frost White,667
