Cat no.,Description,Colour,Price (Rs.)
CA316 .05,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Black,10152
CA321 .05,21M Plate - for 210mm x 210mm box (8x8),Black,13484
CA301 .14,1M Plate - for 75mm x 75mm box (3x3),Dark Bronze,2091
CA302 .14,2M Plate - for 75mm x 75mm box (3x3),Dark Bronze,2123
CA303 .14,3M Plate - for 100mm x 75mm box (4x3),Dark Bronze,2251
CA304 .14,4M Plate - for 135mm x 75mm box (5x3),Dark Bronze,2529
CA306 .14,6M Plate - for 210mm x 75mm box (8x3),Dark Bronze,2768
CA308 .14,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Dark Bronze,3000
CA309 .14,8M (V) Plate - for 135mm x 140mm box (5x5),Dark Bronze,5455
CA312 .14,12M Plate - for 140mm x 210mm box (8x6),Dark Bronze,6863
CA314 .14,14M Plate - for 140mm x 210mm box (8x6),Dark Bronze,7428
CA316 .14,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Dark Bronze,11169
CA321 .14,21M Plate - for 210mm x 210mm box (8x8),Dark Bronze,14834
CG301 .08,1M Plate - for 75mm x 75mm box (3x3),Ice White,1361
CG302 .08,2M Plate - for 75mm x 75mm box (3x3),Ice White,1382
CG303 .08,3M Plate - for 100mm x 75mm box (4x3),Ice White,1465
CG304 .08,4M Plate - for 135mm x 75mm box (5x3),Ice White,1646
CG306 .08,6M Plate - for 210mm x 75mm box (8x3),Ice White,1801
CG308 .08,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Ice White,1951
CG309 .08,8M (V) Plate - for 135mm x 140mm box (5x5),Ice White,2384
CG312 .08,12M Plate - for 140mm x 210mm box (8x6),Ice White,3034
CG314 .08,14M Plate - for 140mm x 210mm box (8x6),Ice White,3771
CG316 .08,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Ice White,5363
CG321 .08,21M Plate - for 210mm x 210mm box (8x8),Ice White,6952
CG301 .09,1M Plate - for 75mm x 75mm box (3x3),Metal Gray,1361
CG302 .09,2M Plate - for 75mm x 75mm box (3x3),Metal Gray,1382
CG303 .09,3M Plate - for 100mm x 75mm box (4x3),Metal Gray,1465
CG304 .09,4M Plate - for 135mm x 75mm box (5x3),Metal Gray,1646
CG306 .09,6M Plate - for 210mm x 75mm box (8x3),Metal Gray,1801
CG308 .09,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Metal Gray,1951
CG309 .09,8M (V) Plate - for 135mm x 140mm box (5x5),Metal Gray,2384
CG312 .09,12M Plate - for 140mm x 210mm box (8x6),Metal Gray,3034
CG314 .09,14M Plate - for 140mm x 210mm box (8x6),Metal Gray,3771
CG316 .09,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Metal Gray,5363
CG321 .09,21M Plate - for 210mm x 210mm box (8x8),Metal Gray,6952
CG301 .18,1M Plate - for 75mm x 75mm box (3x3),Smoked Silver,1361
CG302 .18,2M Plate - for 75mm x 75mm box (3x3),Smoked Silver,1382
CG303 .18,3M Plate - for 100mm x 75mm box (4x3),Smoked Silver,1465
CG304 .18,4M Plate - for 135mm x 75mm box (5x3),Smoked Silver,1646
CG306 .18,6M Plate - for 210mm x 75mm box (8x3),Smoked Silver,1801
CG308 .18,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Smoked Silver,1951
CG309 .18,8M (V) Plate - for 135mm x 140mm box (5x5),Smoked Silver,2384
CG312 .18,12M Plate - for 140mm x 210mm box (8x6),Smoked Silver,3034
CG314 .18,14M Plate - for 140mm x 210mm box (8x6),Smoked Silver,3771
CG316 .18,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Smoked Silver,5363
CG321 .18,21M Plate - for 210mm x 210mm box (8x8),Smoked Silver,6952
CG301 .19,1M Plate - for 75mm x 75mm box (3x3),Solid Black,1361
CG302 .19,2M Plate - for 75mm x 75mm box (3x3),Solid Black,1382
CG303 .19,3M Plate - for 100mm x 75mm box (4x3),Solid Black,1465
CG304 .19,4M Plate - for 135mm x 75mm box (5x3),Solid Black,1646
CG306 .19,6M Plate - for 210mm x 75mm box (8x3),Solid Black,1801
CG308 .19,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Solid Black,1951
CG309 .19,8M (V) Plate - for 135mm x 140mm box (5x5),Solid Black,2384
CG312 .19,12M Plate - for 140mm x 210mm box (8x6),Solid Black,3034
CG314 .19,14M Plate - for 140mm x 210mm box (8x6),Solid Black,3771
CG316 .19,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Solid Black,5363
CG321 .19,21M Plate - for 210mm x 210mm box (8x8),Solid Black,6952
CG301 .38,1M Plate - for 75mm x 75mm box (3x3),Ultra White,1859
CG302 .38,2M Plate - for 75mm x 75mm box (3x3),Ultra White,1915
CG303 .38,3M Plate - for 100mm x 75mm box (4x3),Ultra White,2002
CG304 .38,4M Plate - for 135mm x 75mm box (5x3),Ultra White,2249
CG306 .38,6M Plate - for 210mm x 75mm box (8x3),Ultra White,2469
CG308 .38,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Ultra White,2684
CG309 .38,8M (V) Plate - for 135mm x 140mm box (5x5),Ultra White,3259
CG312 .38,12M Plate - for 140mm x 210mm box (8x6),Ultra White,4147
CG314 .38,14M Plate - for 140mm x 210mm box (8x6),Ultra White,4726
CG316 .38,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Ultra White,7328
CG321 .38,21M Plate - for 210mm x 210mm box (8x8),Ultra White,9500
CG301 .48,1M Plate - for 75mm x 75mm box (3x3),Frosted Ultra white,2046
CG302 .48,2M Plate - for 75mm x 75mm box (3x3),Frosted Ultra white,2106
CG303 .48,3M Plate - for 100mm x 75mm box (4x3),Frosted Ultra white,2201
CG304 .48,4M Plate - for 135mm x 75mm box (5x3),Frosted Ultra white,2473
CG306 .48,6M Plate - for 210mm x 75mm box (8x3),Frosted Ultra white,2716
CG308 .48,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Frosted Ultra white,2953
CG309 .48,8M (V) Plate - for 135mm x 140mm box (5x5),Frosted Ultra white,3586
CG312 .48,12M Plate - for 140mm x 210mm box (8x6),Frosted Ultra white,4561
CG314 .48,14M Plate - for 140mm x 210mm box (8x6),Frosted Ultra white,5199
CG316 .48,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Frosted Ultra white,8062
CG321 .48,21M Plate - for 210mm x 210mm box (8x8),Frosted Ultra white,10451
CM301 .10,1M Plate - for 75mm x 75mm box (3x3),Sparkle White,1271
CM302 .10,2M Plate - for 75mm x 75mm box (3x3),Sparkle White,1291
CM303 .10,3M Plate - for 100mm x 75mm box (4x3),Sparkle White,1369
CM304 .10,4M Plate - for 135mm x 75mm box (5x3),Sparkle White,1537
CM306 .10,6M Plate - for 210mm x 75mm box (8x3),Sparkle White,1683
CM308 .10,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Sparkle White,1824
CM309 .10,8M (V) Plate - for 135mm x 140mm box (5x5),Sparkle White,2245
CM312 .10,12M Plate - for 140mm x 210mm box (8x6),Sparkle White,2896
CM314 .10,14M Plate - for 140mm x 210mm box (8x6),Sparkle White,3628
CM316 .10,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Sparkle White,4939
CM321 .10,21M Plate - for 210mm x 210mm box (8x8),Sparkle White,6250
CM301 .11,1M Plate - for 75mm x 75mm box (3x3),Terra Beige,1271
CM302 .11,2M Plate - for 75mm x 75mm box (3x3),Terra Beige,1291
CM303 .11,3M Plate - for 100mm x 75mm box (4x3),Terra Beige,1369
CM304 .11,4M Plate - for 135mm x 75mm box (5x3),Terra Beige,1537
CM306 .11,6M Plate - for 210mm x 75mm box (8x3),Terra Beige,1683
CM308 .11,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Terra Beige,1824
CM309 .11,8M (V) Plate - for 135mm x 140mm box (5x5),Terra Beige,2245
CM312 .11,12M Plate - for 140mm x 210mm box (8x6),Terra Beige,2896
CM314 .11,14M Plate - for 140mm x 210mm box (8x6),Terra Beige,3628
CM316 .11,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Terra Beige,4939
CM321 .11,21M Plate - for 210mm x 210mm box (8x8),Terra Beige,6250
CM301 .12,1M Plate - for 75mm x 75mm box (3x3),Salt White,1401
CM302 .12,2M Plate - for 75mm x 75mm box (3x3),Salt White,1421
CM303 .12,3M Plate - for 100mm x 75mm box (4x3),Salt White,1505
CM304 .12,4M Plate - for 135mm x 75mm box (5x3),Salt White,1691
CM306 .12,6M Plate - for 210mm x 75mm box (8x3),Salt White,1853
CM308 .12,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Salt White,2008
CM309 .12,8M (V) Plate - for 135mm x 140mm box (5x5),Salt White,2470
CM312 .12,12M Plate - for 140mm x 210mm box (8x6),Salt White,3186
CM314 .12,14M Plate - for 140mm x 210mm box (8x6),Salt White,3990
CM316 .12,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Salt White,5434
CM321 .12,21M Plate - for 210mm x 210mm box (8x8),Salt White,6876
CM301 .13,1M Plate - for 75mm x 75mm box (3x3),Onyx White,1401
CM302 .13,2M Plate - for 75mm x 75mm box (3x3),Onyx White,1421
CM303 .13,3M Plate - for 100mm x 75mm box (4x3),Onyx White,1505
CM304 .13,4M Plate - for 135mm x 75mm box (5x3),Onyx White,1691
CM306 .13,6M Plate - for 210mm x 75mm box (8x3),Onyx White,1853
CM308 .13,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Onyx White,2008
CM309 .13,8M (V) Plate - for 135mm x 140mm box (5x5),Onyx White,2470
CM312 .13,12M Plate - for 140mm x 210mm box (8x6),Onyx White,3186
CM314 .13,14M Plate - for 140mm x 210mm box (8x6),Onyx White,3990
CM316 .13,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Onyx White,5434
CM321 .13,21M Plate - for 210mm x 210mm box (8x8),Onyx White,6876
CW301 .06,1M Plate - for 75mm x 75mm box (3x3),Dark Mahogany,1382
CW302 .06,2M Plate - for 75mm x 75mm box (3x3),Dark Mahogany,1403
CW303 .06,3M Plate - for 100mm x 75mm box (4x3),Dark Mahogany,1487
CW304 .06,4M Plate - for 135mm x 75mm box (5x3),Dark Mahogany,1672
CW306 .06,6M Plate - for 210mm x 75mm box (8x3),Dark Mahogany,1831
CW308 .06,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Dark Mahogany,1982
CW309 .06,8M (V) Plate - for 135mm x 140mm box (5x5),Dark Mahogany,3164
CW312 .06,12M Plate - for 140mm x 210mm box (8x6),Dark Mahogany,4315
CW314 .06,14M Plate - for 140mm x 210mm box (8x6),Dark Mahogany,5034
CW316 .06,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Dark Mahogany,6951
CW321 .06,21M Plate - for 210mm x 210mm box (8x8),Dark Mahogany,8868
CW301 .07,1M Plate - for 75mm x 75mm box (3x3),Pinewood,1382
CW302 .07,2M Plate - for 75mm x 75mm box (3x3),Pinewood,1403
CW303 .07,3M Plate - for 100mm x 75mm box (4x3),Pinewood,1487
CW304 .07,4M Plate - for 135mm x 75mm box (5x3),Pinewood,1672
CW306 .07,6M Plate - for 210mm x 75mm box (8x3),Pinewood,1831
CW308 .07,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Pinewood,1982
CW309 .07,8M (V) Plate - for 135mm x 140mm box (5x5),Pinewood,3164
CW312 .07,12M Plate - for 140mm x 210mm box (8x6),Pinewood,4315
CW314 .07,14M Plate - for 140mm x 210mm box (8x6),Pinewood,5034
CW316 .07,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Pinewood,6951
CW321 .07,21M Plate - for 210mm x 210mm box (8x8),Pinewood,8868
CW301 .29,1M Plate - for 75mm x 75mm box (3x3),Walnut,1451
CW302 .29,2M Plate - for 75mm x 75mm box (3x3),Walnut,1473
CW303 .29,3M Plate - for 100mm x 75mm box (4x3),Walnut,1562
CW304 .29,4M Plate - for 135mm x 75mm box (5x3),Walnut,1755
CW306 .29,6M Plate - for 210mm x 75mm box (8x3),Walnut,1922
CW308 .29,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Walnut,2080
CW309 .29,8M (V) Plate - for 135mm x 140mm box (5x5),Walnut,3322
CW312 .29,12M Plate - for 140mm x 210mm box (8x6),Walnut,4531
CW314 .29,14M Plate - for 140mm x 210mm box (8x6),Walnut,5285
CW316 .29,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Walnut,7299
CW321 .29,21M Plate - for 210mm x 210mm box (8x8),Walnut,9312
D5212 .01,Integral Socket with switch 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Frost White,686
D5532 .01,Integral Socket with switch 13A International Multi socket Shuttered - 2 Module,Frost White,867
D5531 .01,Integral Socket with switch 13A 3-Pin Flat Only Socket Shuttered - 2 Module,Frost White,850
D5332 .01,Integral Socket with switch 16A/6A 3-Pin Shuttered - 2 Module,Frost White,878
D5732 .01,Integral Socket with switch 25A/6A 3-Pin Shuttered - 2 Module,Frost White,1179
D5212 .02,Integral Socket with switch 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Quartz Gray,844
D5532 .02,Integral Socket with switch 13A International Multi socket Shuttered - 2 Module,Quartz Gray,1066
D5531 .02,Integral Socket with switch 13A 3-Pin Flat Only Socket Shuttered - 2 Module,Quartz Gray,1044
D5332 .02,Integral Socket with switch 16A/6A 3-Pin Shuttered - 2 Module,Quartz Gray,1081
D5732 .02,Integral Socket with switch 25A/6A 3-Pin Shuttered - 2 Module,Quartz Gray,1421
D5212 .17,Integral Socket with switch 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Charcoal Black,910
D5532 .17,Integral Socket with switch 13A International Multi socket Shuttered - 2 Module,Charcoal Black,1151
D5531 .17,Integral Socket with switch 13A 3-Pin Flat Only Socket Shuttered - 2 Module,Charcoal Black,1127
D5332 .17,Integral Socket with switch 16A/6A 3-Pin Shuttered - 2 Module,Charcoal Black,1168
D5732 .17,Integral Socket with switch 25A/6A 3-Pin Shuttered - 2 Module,Charcoal Black,1564
D6402 .01,2M Plate - for 93mm x 95mm box (3x3) ,Frost White,286
D6404 .01,4M Plate - for 93mm x 158mm box (3x5),Frost White,545
D6402 .02,2M Plate - for 93mm x 95mm box (3x3),Quartz Gray,506
D6404 .02,4M Plate - for 93mm x 158mm box (3x5),Quartz Gray,972
D6402 .03,2M Plate - for 93mm x 95mm box (3x3),Ice Silver,506
D6404 .03,4M Plate - for 93mm x 158mm box (3x5),Ice Silver,972
D6402 .16,2M Plate - for 93mm x 95mm box (3x3),Matt Gold,506
D6404 .16,4M Plate - for 93mm x 158mm box (3x5),Matt Gold,972
D6402 .17,2M Plate - for 93mm x 95mm box (3x3),Charcoal Black,506
D6404 .17,4M Plate - for 93mm x 158mm box (3x5),Charcoal Black,972
D6402 .25,2M Plate - for 93mm x 95mm box (3x3),Cocoa Brown,506
D6404 .25,4M Plate - for 93mm x 158mm box (3x5),Cocoa Brown,972
D6402 .26,2M Plate - for 93mm x 95mm box (3x3),Silver Dust,506
D6404 .26,4M Plate - for 93mm x 158mm box (3x5),Silver Dust,972
DA302 .04,2M Plate - for 93mm x 95mm box (3x3),Solid Aluminium Natural,2010
DA304 .04,4M Plate - for 93mm x 158mm box (3x5),Sold Aluminium Natural,2473
DA302 .05,2M Plate - for 93mm x 95mm box (3x3),Solid Aluminium Black,2010
DA304 .05,4M Plate - for 93mm x 158mm box (3x5),Sold Aluminium Black,2473
DA302 .14,2M Plate - for 93mm x 95mm box (3x3),Solid Aluminium Dark Bronze,2010
DA304 .14,4M Plate - for 93mm x 158mm box (3x5),Solid Aluminium Dark Bronze,2473
DG302 .08,2M Plate - for 93mm x 95mm box (3x3),Solid Glass Ice White,1402
DG304 .08,4M Plate - for 93mm x 158mm box (3x5),Solid Glass Ice White,1726
DG302 .09,2M Plate - for 93mm x 95mm box (3x3),Solid Glass Metal Gray,1402
DG304 .09,4M Plate - for 93mm x 158mm box (3x5),Solid Glass Metal Gray,1726
DG302 .18,2M Plate - for 93mm x 95mm box (3x3),Solid Glass Smoked Silver,1402
DG304 .18,4M Plate - for 93mm x 158mm box (3x5),Solid Glass Smoked Silver,1726
DG302 .19,2M Plate - for 93mm x 95mm box (3x3),Solid Glass Solid Black,1402
DG304 .19,4M Plate - for 93mm x 158mm box (3x5),Solid Glass Solid Black,1726
DG302 .38,2M Plate - for 93mm x 95mm box (3x3),Solid Glass Ultra White,1741
DG304 .38,4M Plate - for 93mm x 158mm box (3x5),Solid Glass Ultra White,2143
DG302 .48,2M Plate - for 93mm x 95mm box (3x3),Frosted Ultra white,1915
DG304 .48,4M Plate - for 93mm x 158mm box (3X5),Frosted Ultra white,2357
DM302 .10,2M Plate - for 93mm x 95mm box (3x3),Marble Finish Sparkle White,1369
DM304 .10,4M Plate - for 93mm x 158mm box (3x5),Marble Finish Sparkle White,1682
DM302 .11,2M Plate - for 93mm x 95mm box (3x3),Marble Finish Terra Beige,1369
DM304 .11,4M Plate - for 93mm x 158mm box (3x5),Marble Finish Terra Beige,1682
DM302 .12,2M Plate - for 93mm x 95mm box (3x3),Marble Finish Salt White,1369
DM304 .12,4M Plate - for 93mm x 158mm box (3x5),Marble Finish Salt White,1682
DM302 .13,2M Plate - for 93mm x 95mm box (3x3),Marble Finish Onix White,1369
DM304 .13,4M Plate - for 93mm x 158mm box (3x5),Marble Finish Onix White,1682
DW302 .06,2M Plate - for 93mm x 95mm box (3x3),Solid Wood Dark Mahogany,1489
DW304 .06,4M Plate - for 93mm x 158mm box (3x5),Solid Wood Dark Mahogany,1831
DW302 .07,2M Plate - for 93mm x 95mm box (3x3),Solid Natural Pinewood,1489
DW304 .07,4M Plate - for 93mm x 158mm box (3x5),Sold Natural Pinewood,1831
DW302 .29,2M Plate - for 93mm x 95mm box (3x3),Solid Wood Walnut ,1563
DW304 .29,4M Plate - for 93mm x 158mm box (3x5),Solid Wood Walnut,1922
C525A .01,Motor Starter 0.60 A - 1.00 A,Frost White,961
C525B .01,Motor Starter 0.90 A - 1.50 A,Frost White,961
C525C .01,Motor Starter 1.20 A - 2.00 A,Frost White,961
C525D .01,Motor Starter 2.00 A - 3.50 A,Frost White,961
C525E .01,Motor Starter 3.00 A - 5.00 A,Frost White,961
C525F .01,Motor Starter 4.75 A - 7.50 A,Frost White,961
C525G .01,Motor Starter 7.00 A - 11.50 A,Frost White,961
C525H .01,Motor Starter 11.00 A - 18.00 A,Frost White,998
C525J .01,Motor Starter 16.00 A - 25.00 A,Frost White,1092
C525A .02,Motor Starter 0.60 A - 1.00 A,Quartz Gray,1193
C525B .02,Motor Starter 0.90 A - 1.50 A,Quartz Gray,1193
C525C .02,Motor Starter 1.20 A - 2.00 A,Quartz Gray,1193
C525D .02,Motor Starter 2.00 A - 3.50 A,Quartz Gray,1193
C525E .02,Motor Starter 3.00 A - 5.00 A,Quartz Gray,1193
C525F .02,Motor Starter 4.75 A - 7.50 A,Quartz Gray,1193
C525G .02,Motor Starter 7.00 A - 11.50 A,Quartz Gray,1193
C525H .02,Motor Starter 11.00 A - 18.00 A,Quartz Gray,1238
C525J .02,Motor Starter 16.00 A - 25.00 A,Quartz Gray,1353
C525A .17,Motor Starter 0.60 A - 1.00 A,Charcoal Black,1300
C525B .17,Motor Starter 0.90 A - 1.50 A,Charcoal Black,1300
C525C .17,Motor Starter 1.20 A - 2.00 A,Charcoal Black,1300
C525D .17,Motor Starter 2.00 A - 3.50 A,Charcoal Black,1300
C525E .17,Motor Starter 3.00 A - 5.00 A,Charcoal Black,1300
C525F .17,Motor Starter 4.75 A - 7.50 A,Charcoal Black,1300
C525G .17,Motor Starter 7.00 A - 11.50 A,Charcoal Black,1300
C525H .17,Motor Starter 11.00 A - 18.00 A,Charcoal Black,1350
C525J .17,Motor Starter 16.00 A - 25.00 A,Charcoal Black,1476
CTTSP06 .01,Tiny MCB Single Pole 6A,Frost White,446
CTTSP10 .01,Tiny MCB Single Pole 10A,Frost White,446
CTTSP16 .01,Tiny MCB Single Pole 16A,Frost White,446
CTTSP20 .01,Tiny MCB Single Pole 20A,Frost White,446
CTTSP25 .01,Tiny MCB Single Pole 25A,Frost White,446
CTTSP32 .01,Tiny MCB Single Pole 32A,Frost White,446
CTTDP06 .01,Tiny MCB Double Pole 6A,Frost White,1112
CTTDP10 .01,Tiny MCB Double Pole 10A,Frost White,1112
CTTDP16 .01,Tiny MCB Double Pole 16A,Frost White,1112
CTTDP20 .01,Tiny MCB Double Pole 20A,Frost White,1112
CTTDP25 .01,Tiny MCB Double Pole 25A,Frost White,1112
CTTDP32 .01,Tiny MCB Double Pole 32A,Frost White,1112
CTTSP06 .02,Tiny MCB Single Pole 6A,Quartz Gray,540
CTTSP10 .02,Tiny MCB Single Pole 10A,Quartz Gray,540
CTTSP16 .02,Tiny MCB Single Pole 16A,Quartz Gray,540
CTTSP20 .02,Tiny MCB Single Pole 20A,Quartz Gray,540
CTTSP25 .02,Tiny MCB Single Pole 25A,Quartz Gray,540
CTTSP32 .02,Tiny MCB Single Pole 32A,Quartz Gray,540
CTTDP06 .02,Tiny MCB Double Pole 6A,Quartz Gray,1358
CTTDP10 .02,Tiny MCB Double Pole 10A,Quartz Gray,1358
CTTDP16 .02,Tiny MCB Double Pole 16A,Quartz Gray,1358
CTTDP20 .02,Tiny MCB Double Pole 20A,Quartz Gray,1358
CTTDP25 .02,Tiny MCB Double Pole 25A,Quartz Gray,1358
CTTDP32 .02,Tiny MCB Double Pole 32A,Quartz Gray,1358
CTTSP06 .17,Tiny MCB Single Pole 6A,Charcoal Black,593
CTTSP10 .17,Tiny MCB Single Pole 10A,Charcoal Black,593
CTTSP16 .17,Tiny MCB Single Pole 16A,Charcoal Black,593
CTTSP20 .17,Tiny MCB Single Pole 20A,Charcoal Black,593
CTTSP25 .17,Tiny MCB Single Pole 25A,Charcoal Black,593
CTTSP32 .17,Tiny MCB Single Pole 32A,Charcoal Black,593
CTTDP06 .17,Tiny MCB Double Pole 6A,Charcoal Black,1480
CTTDP10 .17,Tiny MCB Double Pole 10A,Charcoal Black,1480
CTTDP16 .17,Tiny MCB Double Pole 16A,Charcoal Black,1480
CTTDP20 .17,Tiny MCB Double Pole 20A,Charcoal Black,1480
CTTDP25 .17,Tiny MCB Double Pole 25A,Charcoal Black,1480
CTTDP32 .17,Tiny MCB Double Pole 32A,Charcoal Black,1480
CLBDP32 .01,Tiny Load Break Switch Double Pole 32A,Frost White,963
CLBDP50 .01,Tiny Load Break Switch Double Pole 50A,Frost White,1068
CLBDP32 .02,Tiny Load Break Switch Double Pole 32A,Quartz Gray,1196
CLBDP50 .02,Tiny Load Break Switch Double Pole 50A,Quartz Gray,1324
CLBDP32 .17,Tiny Load Break Switch Double Pole 32A,Charcoal Black,1303
CLBDP50 .17,Tiny Load Break Switch Double Pole 50A,Charcoal Black,1445
S7110 .01,Switch 6A One-way (Collarless Style) - 1 Module,Frost White,105
S7111 .01,Switch 6A One-way with indicator (Collarless Style) - 1 Module,Frost White,223
S7210 .01,Switch 6A Two-way (Collarless Style) - 1 Module,Frost White,193
S7211 .01,Switch 6A Two-way with indicator (Collarless Style) - 1 Module,Frost White,289
S7130 .01,Switch 16A One-way (Collarless Style) - 1 Module,Frost White,238
S7131 .01,Switch 16A One-way with indicator (Collarless Style) - 1 Module,Frost White,278
S7230 .01,Switch 16A Two-way (Collarless Style) - 1 Module,Frost White,256
S7231 .01,Switch 16A Two-way with indicator (Collarless Style) - 1 Module,Frost White,338
S7731 .01,Switch 25A One-way with indicator (Collarless Style) - 1 Module,Frost White,402
S7310 .01,Switch 6A - Bell (Collarless Style) - 1 Module,Frost White,203
S7311 .01,Switch 6A - Bell with indicator (Collarless Style) - 1 Module,Frost White,262
S7340 .01,Palm Bell Switch 6A (Collarless Style) - 2 Module,Frost White,263
S7341 .01,Palm Bell Switch 6A with indicator (Collarless Style) - 2 Module,Frost White,297
S7180 .01,Palm Switch 6A One-way Double Pole (Collarless Style) - 2 Module,Frost White,357
S7280 .01,Palm Switch 6A Two-way Double Pole (Collarless Style) - 2 Module,Frost White,387
S7191 .01,Palm Switch 16A One-way DP with indicator (Collarless) - 2 Module,Frost White,504
S7291 .01,Palm Switch 16A Two-way DP with indicator (Collarless) - 2 Module,Frost White,594
S7171 .01,Palm Switch 25A One-way DP with indicator (Collarless) - 2 Module,Frost White,600
S8110 .01,Switch 6A One-way (Collar Style) - 1 Module,Frost White,93
S8111 .01,Switch 6A One-way with indicator (Collar Style) - 1 Module,Frost White,211
S8210 .01,Switch 6A Two-way (Collar Style) - 1 Module,Frost White,192
S8211 .01,Switch 6A Two-way with indicator (Collar Style) - 1 Module,Frost White,278
S8130 .01,Switch 16A One-way (Collar Style) - 1 Module,Frost White,229
S8131 .01,Switch 16A One-way with indicator (Collar Style) - 1 Module,Frost White,262
S8230 .01,Switch 16A Two-way (Collar Style) - 1 Module,Frost White,249
S8231 .01,Switch 16A Two-way with indicator (Collar Style) - 1 Module,Frost White,343
S8730 .01,Switch 25A One-way (Collar Style) - 1 Module,Frost White,302
S8731 .01,Switch 25A One-way with indicator (Collar Style) - 1 Module,Frost White,376
S8310 .01,Switch 6A - Bell (Collar Style) - 1 Module,Frost White,193
S8311 .01,Switch 6A - Bell with indicator (Collar Style) - 1 Module,Frost White,248
S7110 .23,Switch 6A One-way (Collarless Style) - 1 Module,Graphite Gray,127
S7111 .23,Switch 6A One-way with indicator (Collarless Style) - 1 Module,Graphite Gray,277
S7210 .23,Switch 6A Two-way (Collarless Style) - 1 Module,Graphite Gray,238
S7211 .23,Switch 6A Two-way with indicator (Collarless Style) - 1 Module,Graphite Gray,356
S7130 .23,Switch 16A One-way (Collarless Style) - 1 Module,Graphite Gray,295
S7131 .23,Switch 16A One-way with indicator (Collarless Style) - 1 Module,Graphite Gray,344
S7230 .23,Switch 16A Two-way (Collarless Style) - 1 Module,Graphite Gray,318
S7231 .23,Switch 16A Two-way with indicator (Collarless Style) - 1 Module,Graphite Gray,411
S7731 .23,Switch 25A One-way with indicator (Collarless Style) - 1 Module,Graphite Gray,496
S7310 .23,Switch 6A - Bell (Collarless Style) - 1 Module,Graphite Gray,247
S7311 .23,Switch 6A - Bell with indicator (Collarless Style) - 1 Module,Graphite Gray,324
S7340 .23,Palm Bell Switch 6A (Collarless Style) - 2 Module,Graphite Gray,318
S7341 .23,Palm Bell Switch 6A with indicator (Collarless Style) - 2 Module,Graphite Gray,356
S7180 .23,Palm Switch 6A One-way Double Pole (Collarless Style) - 2 Module,Graphite Gray,430
S7280 .23,Palm Switch 6A Two-way Double Pole (Collarless Style) - 2 Module,Graphite Gray,462
S7191 .23,Palm Switch 16A One-way DP with indicator (Collarless) - 2 Module,Graphite Gray,606
S7291 .23,Palm Switch 16A Two-way DP with indicator (Collarless) - 2 Module,Graphite Gray,713
S7171 .23,Palm Switch 25A One-way DP with indicator (Collarless) - 2 Module,Graphite Gray,720
S7213 .01,Socket 6A 3-Pin-only Shuttered - 2 Module,Frost White,263
S7332 .01,Socket 16A/6A 3-Pin Shuttered - 2 Module,Frost White,377
S7212 .01,Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Frost White,284
S7412 .01,Socket 6A 3+2 Pin And 2 pin Shuttered - 2 Module,Frost White,401
S1010 .01,Socket 6A 2 Pin [Round & Flat] - 1 Module,Frost White,189
S7532 .01,Socket 13A International Multi socket Shuttered - 2 Module,Frost White,377
S7531 .01,Socket 13A 3-Pin Flat Socket Shuttered - 2 Module,Frost White,366
S7732 .01,Socket 25A/6A 3-Pin Shuttered - 2 Module,Frost White,429
S7213 .23,Socket 6A 3-Pin-only Shuttered - 2 Module,Graphite Gray,319
S7332 .23,Socket 16A/6A 3-Pin Shuttered - 2 Module,Graphite Gray,459
